EPSG,ESRI,Oracle
,,Pitcairn Astro 1967
,D_Pico_de_Las_Nieves,
Piton_des_Neiges,D_Piton_des_Neiges,
,D_Pohnpei,
Point_58,D_Point_58,
Pointe_Geologie_Perroud_1950,D_Pointe_Geologie_Perroud_1950,
,D_Pointe_Noire,
Porto_Santo_1936,D_Porto_Santo_1936,
Porto_Santo_1995,D_Porto_Santo_1995,
,D_POSGAR,
,D_Prometheus_2000,
,D_Proteus_2000,
Posiciones_Geodesicas_Argentinas,,
Posiciones_Geodesicas_Argentinas_1998,,
Provisional_South_American_Datum_1956,D_Provisional_S_American_1956,Provisional South American
,D_Puck_2000,
Puerto_Rico,D_Puerto_Rico,Puerto Rico
Pulkovo_1942,D_Pulkovo_1942,Pulkovo 1942
Pulkovo_1942_58,D_Pulkovo_1942_Adj_1958,
Pulkovo_1942_83,D_Pulkovo_1942_Adj_1983,
Pulkovo_1995,D_Pulkovo_1995,
Qatar_1948,D_Qatar,Qatar National
Qatar_1974,,
Qatar_National_Datum_1995,,
Qornoq,D_Qornoq,Qornoq
Qornoq_1927,D_Qornoq_1927,
Rassadiran,D_Rassadiran,
Red_Geodesica_Venezolana,D_REGVEN,
Reseau_de_Reference_des_Antilles_Francaises_1991,,
Reseau_Geodesique_de_la_Reunion_1992,,
Reseau_Geodesique_Francais_1993,D_RGF_1993,
Reseau_Geodesique_Francais_Guyane_1995,D_RGFG_1995,
Reseau_Geodesique_Nouvelle_Caledonie_1991,D_RGNC_1991,
,D_RGR_1992,
,D_Rhea_2000,
,,Reunion
,D_Roma_1940,Rome 1940
,D_Rosalind_2000,
,D_RRAF_1991,
,D_RT_1990,RT 90 (Sweden)
,D_S42_Hungary,
Reseau_National_Belge_1950,,
Reseau_National_Belge_1950_Brussels,,
Reseau_National_Belge_1972,,
Reykjavik_1900,,
Rikets_koordinatsystem_1990,,
Sainte_Anne,D_Sainte_Anne,
Saint_Pierre_et_Miquelon_1950,D_Saint_Pierre_et_Miquelon_1950,
Samboja,D_Samboja,
,D_Santo_DOS_1965,Santo (DOS)
,,Sao Braz
Sapper_Hill_1943,D_Sapper_Hill_1943,Sapper Hill 1943
Schwarzeck,D_Schwarzeck,Schwarzeck
Scoresbysund_1952,,
Segora,D_Segora,
Selvagem_Grande,,
Serindung,D_Serindung,
,D_Sierra_Leone_1924,
,D_Sierra_Leone_1960,
Sierra_Leone_1968,D_Sierra_Leone_1968,
Sierra_Leone_Colony_1924,,
,D_Sinope_2000,
Sistema_de_Referencia_Geocentrico_para_America_del_Sur,D_SIRGAS,
S_JTSK_Ferro,D_S_JTSK,
South_American_Datum_1969,D_South_American_1969,
,D_South_Asia_Singapore,South Asia
,,Southeast Base
South_Yemen,D_South_Yemen,
,D_Sphere,
,D_Sphere_ARC_INFO,
,D_Sphere_EMEP,
ST71_Belep,D_ST71_Belep,
ST84_Ile_des_Pins,D_ST84_Ile_des_Pins,
